router,method,path,function,line,fn_gate,file_router_gate,server_gate,exempt,no_gate
admin,POST,/users,create_user,32,1,0,1,0,0
admin,PUT,/users/{uid},update_user,56,1,0,1,0,0
admin,DELETE,/users/{uid},delete_user,71,1,0,1,0,0
admin,DELETE,/activity-logs/{log_id},delete_activity_log,104,1,0,1,0,0
admin,POST,/company-settings,save_company_settings,149,1,0,1,0,0
admin,POST,/roles,create_role,224,1,0,1,0,0
admin,PUT,/roles/{role_id},update_role,254,1,0,1,0,0
admin,DELETE,/roles/{role_id},delete_role,309,1,0,1,0,0
admin_backup,POST,/create,create_backup,514,1,0,1,0,0
admin_backup,POST,/restore,restore_backup,581,1,0,1,0,0
admin_backup,DELETE,/{backup_id},delete_backup,666,1,0,1,0,0
admin_backup,POST,/cleanup,cleanup_old_backups,692,1,0,1,0,0
admin_backup,POST,/download-ticket/{backup_id},create_download_ticket,743,1,0,1,0,0
admin_backup,POST,/upload,upload_backup,813,1,0,1,0,0
admin_backup,POST,/upload-file,upload_backup_file,839,1,0,1,0,0
admin_backup,POST,/upload-init,upload_init,937,1,0,1,0,0
admin_backup,POST,/upload-chunk,upload_chunk,960,1,0,1,0,0
admin_backup,POST,/upload-complete,upload_complete,1002,1,0,1,0,0
admin_backup,POST,/restore-selective,restore_selective,1144,1,0,1,0,0
admin_backup,POST,/clear-collections,clear_collections,1307,1,0,1,0,0
ai_usage_monitor,PUT,/settings,update_settings,176,1,0,1,0,0
analytics_ai,POST,/production/rca,production_rca,93,1,0,1,0,0
analytics_ai,POST,/qc/rca,qc_rca,274,1,0,1,0,0
announcements,POST,/,create_announcement,160,1,0,0,0,0
announcements,PUT,/{announcement_id},update_announcement,203,1,0,0,0,0
announcements,DELETE,/{announcement_id},delete_announcement,241,1,0,0,0,0
announcements,POST,/{announcement_id}/toggle,toggle_announcement_status,267,1,0,0,0,0
approval_multilevel,POST,/chains,create_chain,120,1,0,1,0,0
approval_multilevel,PUT,/chains/{chain_id},update_chain,148,1,0,1,0,0
approval_multilevel,DELETE,/chains/{chain_id},delete_chain,165,1,0,1,0,0
approval_multilevel,POST,/requests,submit_request,179,0,0,1,0,0
approval_multilevel,POST,/requests/{request_id}/approve,approve_request,239,0,0,1,0,0
approval_multilevel,POST,/requests/{request_id}/reject,reject_request,259,0,0,1,0,0
approval_multilevel,POST,/requests/{request_id}/cancel,cancel_request,279,1,0,1,0,0
approval_multilevel,POST,/seed-chains,seed_chains,344,1,0,1,0,0
approval_multilevel,POST,/seed-missing-chains,seed_missing_chains,358,1,0,1,0,0
asset/assets_core,POST,,create_asset,62,0,0,1,0,0
asset/assets_core,PUT,/{asset_id},update_asset,174,0,0,1,0,0
asset/assignments,POST,/{asset_id}/assign,assign_asset,19,0,0,1,0,0
asset/assignments,POST,/{asset_id}/unassign,unassign_asset,55,0,0,1,0,0
asset/assignments,POST,/{asset_id}/maintenance,add_maintenance,84,0,0,1,0,0
asset/bulk_import,POST,/bulk-import/preview,bulk_import_preview,14,0,0,1,0,0
asset/bulk_import,POST,/bulk-import/execute,bulk_import_execute,41,0,0,1,0,0
asset/bulk_import,POST,/bulk-import/execute-file,bulk_import_execute_file,184,0,0,1,0,0
asset/categories,POST,/categories,create_category,29,0,0,1,0,0
asset/categories,PUT,/categories/{cat_id},update_category,51,0,0,1,0,0
asset/categories,DELETE,/categories/{cat_id},delete_category,74,1,0,1,0,0
asset/depreciation_batch,POST,/batch-depreciate/{period},batch_depreciate,10,0,0,1,0,0
asset/depreciation_per,POST,/{asset_id}/depreciate/{period},post_depreciation,13,0,0,1,0,0
asset/disposal,PATCH,/disposal-requests/{req_id}/approve,approve_disposal_request,30,1,0,1,0,0
asset/disposal,PATCH,/disposal-requests/{req_id}/reject,reject_disposal_request,105,1,0,1,0,0
asset/disposal,POST,/{asset_id}/dispose,dispose_asset,141,0,0,1,0,0
asset/disposal,POST,/{asset_id}/request-disposal,request_disposal,200,0,0,1,0,0
asset/loans,POST,/loans,create_asset_loan,164,0,0,1,0,0
asset/loans,POST,/loans/{loan_id}/return,return_asset_loan,251,0,0,1,0,0
asset/photo,POST,/{asset_id}/upload-photo,upload_asset_photo,11,0,0,1,0,0
asset/predictive_maintenance,POST,/predictive-maintenance/acknowledge,acknowledge_pm_alert,248,0,0,1,0,0
asset/scan_label,POST,/{asset_id}/scan,scan_asset,26,0,0,1,0,0
asset/transfer,POST,/{asset_id}/transfer,transfer_asset,13,0,0,1,0,0
auth_routes,POST,/auth/download-token,issue_download_token,77,0,0,0,1,0
auth_routes,POST,/auth/login,login,91,1,0,0,0,0
auth_routes,POST,/auth/change-password,change_password,189,0,0,0,1,0
buyer_shipment,POST,/buyer-shipments,create_buyer_shipment,757,1,0,1,0,0
buyer_shipment,PUT,/buyer-shipments/{bsid},update_buyer_shipment,1119,1,0,1,0,0
buyer_shipment,DELETE,/buyer-shipments/{bsid},delete_buyer_shipment,1134,1,0,1,0,0
buyer_shipment,PUT,/buyer-shipment-items/{item_id},force_edit_buyer_shipment_item,1182,1,0,1,0,0
buyer_shipment,PUT,/buyer-shipment-items/{item_id}/received,set_buyer_shipment_item_received,1299,1,0,1,0,0
buyer_shipment,POST,/buyer-shorts/{short_id}/resolve,resolve_buyer_short,1496,1,0,1,0,0
cmt_override_routes,POST,/daily-recap/remind,daily_recap_remind,282,0,0,1,0,0
coa_auto,PUT,/settings,update_settings,374,0,1,1,0,0
coa_auto,POST,/backfill/{entity_type},backfill,402,0,1,1,0,0
communication/channel_messages,POST,/channels/{channel_id}/messages,send_channel_message,53,1,0,1,0,0
communication/channel_messages,POST,/channels/{channel_id}/upload,upload_file_message,133,0,0,1,0,0
